# TATP Study 1 counterbalancing. Generated by tools/make_allocation.py -- do not edit.
# seed=20260823 n_participants=41 n_sessions=3
participant_code,session_number,condition,limb
01,1,sham,left
01,2,ct_targeted,right
01,3,participant_preferred,left
02,1,sham,right
02,2,participant_preferred,left
02,3,ct_targeted,right
03,1,participant_preferred,left
03,2,sham,right
03,3,ct_targeted,left
04,1,participant_preferred,right
04,2,sham,left
04,3,ct_targeted,right
05,1,sham,left
05,2,participant_preferred,right
05,3,ct_targeted,left
06,1,participant_preferred,right
06,2,sham,left
06,3,ct_targeted,right
07,1,ct_targeted,left
07,2,sham,right
07,3,participant_preferred,left
08,1,participant_preferred,right
08,2,sham,left
08,3,ct_targeted,right
09,1,participant_preferred,left
09,2,ct_targeted,right
09,3,sham,left
10,1,sham,right
10,2,ct_targeted,left
10,3,participant_preferred,right
11,1,sham,left
11,2,participant_preferred,right
11,3,ct_targeted,left
12,1,ct_targeted,right
12,2,sham,left
12,3,participant_preferred,right
13,1,ct_targeted,left
13,2,sham,right
13,3,participant_preferred,left
14,1,participant_preferred,right
14,2,ct_targeted,left
14,3,sham,right
15,1,ct_targeted,left
15,2,participant_preferred,right
15,3,sham,left
16,1,sham,right
16,2,ct_targeted,left
16,3,participant_preferred,right
17,1,sham,left
17,2,ct_targeted,right
17,3,participant_preferred,left
18,1,sham,right
18,2,participant_preferred,left
18,3,ct_targeted,right
19,1,ct_targeted,left
19,2,sham,right
19,3,participant_preferred,left
20,1,ct_targeted,right
20,2,sham,left
20,3,participant_preferred,right
21,1,participant_preferred,left
21,2,sham,right
21,3,ct_targeted,left
22,1,ct_targeted,right
22,2,participant_preferred,left
22,3,sham,right
23,1,participant_preferred,left
23,2,ct_targeted,right
23,3,sham,left
24,1,ct_targeted,right
24,2,participant_preferred,left
24,3,sham,right
25,1,participant_preferred,left
25,2,sham,right
25,3,ct_targeted,left
26,1,participant_preferred,right
26,2,sham,left
26,3,ct_targeted,right
27,1,sham,left
27,2,participant_preferred,right
27,3,ct_targeted,left
28,1,ct_targeted,right
28,2,participant_preferred,left
28,3,sham,right
29,1,ct_targeted,left
29,2,participant_preferred,right
29,3,sham,left
30,1,participant_preferred,right
30,2,ct_targeted,left
30,3,sham,right
31,1,participant_preferred,left
31,2,ct_targeted,right
31,3,sham,left
32,1,participant_preferred,right
32,2,ct_targeted,left
32,3,sham,right
33,1,ct_targeted,left
33,2,sham,right
33,3,participant_preferred,left
34,1,ct_targeted,right
34,2,sham,left
34,3,participant_preferred,right
35,1,sham,left
35,2,participant_preferred,right
35,3,ct_targeted,left
36,1,sham,right
36,2,participant_preferred,left
36,3,ct_targeted,right
37,1,ct_targeted,left
37,2,participant_preferred,right
37,3,sham,left
38,1,sham,right
38,2,ct_targeted,left
38,3,participant_preferred,right
39,1,participant_preferred,left
39,2,ct_targeted,right
39,3,sham,left
40,1,sham,right
40,2,ct_targeted,left
40,3,participant_preferred,right
41,1,sham,left
41,2,ct_targeted,right
41,3,participant_preferred,left
